question,option1,option2,option3,answer
During a job interview Priya smiles maintains eye contact and nods while listening to the interviewer What kind of communication is this,Email,Body language,Phone call,Body language
When Rahul listens carefully to his friend and responds thoughtfully instead of interrupting what is he practicing,Waiting to speak,Fully understanding the message,Interrupting for clarity,Fully understanding the message
In a client meeting Meera clearly expresses her ideas with confidence and structure What makes her communication strong,Confidence,Clear expression,Both,Both
During an online call background noise makes it hard to hear What is affecting their communication,Noise,Understanding,Clarity,Noise
When Ananya updates her boss about project progress through a formal message what type of communication is this,Email,Phone call,Handshake,Email
To make sure everyone understands Tanvi avoids jargon and uses simple terms What is she ensuring,Using jargon,Simple language,Complex sentences,Simple language
While speaking to customers Rishi shows warmth through his friendly tone What does his tone express,Emotion,Clarity,Logic,Emotion
In a brainstorming session Neel listens to others and builds on their ideas Which skill makes him effective,Active listening,Silence,Individualism,Active listening
While emailing her manager Kavya keeps her tone polite and avoids slang What should she avoid,Slang,Politeness,Structure,Slang
When Rohan speaks clearly and to the point everyone understands him What makes his communication effective,Clarity,Ambiguity,Misunderstanding,Clarity
While explaining survey results Tanya uses colorful charts What type of communication is that,Visual,Phone call,Discussion,Visual
Mira builds client trust by being transparent and honest What helps her build trust,Honesty,Deception,Overconfidence,Honesty
When a manager gives instructions to employees what direction of communication is that,Manager to employee,Employee to manager,Team discussion,Manager to employee
When two colleagues discuss office news at lunch what type of communication is that,Gossip,Report,Meeting,Gossip
While listening to a coworker Ankit jumps to conclusions before they finish What habit should he avoid,Judging,Summarizing,Paraphrasing,Judging
Before giving a speech Aarav practices in front of a mirror Which skill helps him most,Confidence,Silence,Insecurity,Confidence
If an employee sends a monthly report to a manager what type of communication is this,Employee to manager,Manager to employee,Company policy,Employee to manager
After a meeting Sia emails her manager to confirm the next steps What is she providing,Response to a message,Beginning of communication,Noise,Response to a message
When giving a presentation using stories makes the message more convincing What helps here,Examples,Repetition,Jargon,Examples
Before finishing a task Arjun asks questions to make sure he understood everything correctly What is he doing,Clarifying doubts,Interrupting,Assuming,Clarifying doubts
When talking to a friend who is upset Riya listens and says I understand how you feel What is she showing,Understanding others feelings,Agreeing with everyone,Speaking louder,Understanding others feelings
During a presentation Nisha avoids reading from slides and maintains eye contact What mistake is she avoiding,Reading slides word for word,Eye contact,Gestures,Reading slides word for word
In an international meeting the team struggles to understand each other What is the main communication barrier,Language difference,Same values,Shared culture,Language difference
Before a team discussion the leader lists topics to cover What keeps the meeting focused,Agenda,Random talk,Interruptions,Agenda
While chatting with clients Neha keeps her tone polite and her message clear What makes her digital communication effective,Clarity and tone,Speed and jargon,Emoji spam,Clarity and tone
